Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS21, L1, 5Mn
Exported On:,2022/08/24,11:05
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), TRS (ppb), NO2 (ppb), NOx (ppb), NO (ppb), O3 (ppb), NMHC (ppm), CH4 (ppm), THC (ppm), PM2.5 (ug/m3), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humidity (%), Temp (deg. C)
2022-05-24 10:35:00,0.74,0.23,Cal,Cal,Cal,19.21,0.003,2.02,2.03,2.24,6.54,42.81,92,4.81
2022-05-24 10:40:00,0.65,0.26,Cal,Cal,Cal,19.17,0.007,2.02,2.03,2.24,6.42,16.57,93,4.94
2022-05-24 10:45:00,0.6,0.24,Cal,Cal,Cal,19.18,0.007,2.02,2.03,2.21,8.7,31.08,92,5.07
2022-05-24 10:50:00,0.43,0.28,Cal,Cal,Cal,19.41,0.005,2.02,2.03,2.19,8.95,41.42,92,5.02
2022-05-24 10:55:00,0.58,0.31,Cal,Cal,Cal,20.4,0.005,2.02,2.03,2.17,8.34,55.7,90,5.04
2022-05-24 11:00:00,0.5,0.24,Cal,Cal,Cal,20.31,0.007,2.02,2.03,2.15,6.81,61,91,5.38
2022-05-24 11:05:00,0.62,0.27,Cal,Cal,Cal,19.21,0.01,2.02,2.03,2.14,7.71,61.01,90,5.57
2022-05-24 11:10:00,0.65,0.27,Cal,Cal,Cal,20.6,0.003,2.02,2.02,2.23,7.98,59.77,88,5.54
2022-05-24 11:15:00,0.59,0.33,Cal,Cal,Cal,20.62,0.006,2.02,2.03,2.35,7.73,58.04,90,5.72
2022-05-24 11:20:00,0.68,0.22,226.1,425.4,199.3,21.25,0.008,2.02,2.03,2.29,7.05,99.4,86,6.15
2022-05-24 11:25:00,0.57,0.27,Cal,Cal,Cal,21.41,0.01,2.02,2.03,2.21,6.25,71.07,87,6.22
2022-05-24 11:30:00,0.8,0.25,Cal,Cal,Cal,21.73,0.005,2.02,2.02,2.23,8.08,76.1,86,6.08
2022-05-24 11:35:00,0.63,0.18,Cal,Cal,Cal,22.01,0.006,2.02,2.03,2.19,9.26,56.09,85,6.2
2022-05-24 11:40:00,0.91,0.27,Cal,Cal,Cal,21.85,0.004,2.02,2.02,2.18,7.53,83.3,86,6.35
2022-05-24 11:45:00,0.66,0.27,Cal,Cal,Cal,22.21,0.008,2.02,2.03,2.27,8.18,75.74,85,6.51
2022-05-24 11:50:00,0.5,0.27,0.43,0.73,0.31,22.74,0.002,2.02,2.02,2.29,9.26,64.08,84,6.28
2022-05-24 11:55:00,0.62,0.27,0.45,0.66,0.21,22.99,0.003,2.02,2.02,2.18,8.94,80.6,83,6.36
2022-05-24 12:00:00,0.65,0.26,0.3,0.52,0.22,22.87,0.004,2.02,2.02,2.11,7.73,88.5,84,6.38
2022-05-24 12:05:00,0.5,0.27,0.26,0.49,0.23,22.51,0.003,2.02,2.02,2.12,7.69,59.02,84,6.55
2022-05-24 12:10:00,0.4,0.24,0.32,0.55,0.23,22.08,0.006,2.02,2.03,2.11,5.39,54.73,85,6.81
2022-05-24 12:15:00,0.67,0.26,0.35,0.57,0.23,21.87,0.004,2.02,2.03,2.18,7.79,56.95,84,7.19
2022-05-24 12:20:00,0.55,0.31,0.24,0.54,0.3,22.3,0.004,2.02,2.02,2.29,7.45,57.19,83,6.89
2022-05-24 12:25:00,0.63,0.29,0.35,0.53,0.18,22.23,0.005,2.02,2.03,2.3,8.52,62.34,84,6.86
2022-05-24 12:30:00,0.6,0.3,0.31,0.47,0.16,22.27,0.003,2.02,2.02,2.21,8.45,54.53,85,6.83
2022-05-24 12:35:00,0.54,0.26,0.2,0.44,0.24,22.1,0.003,2.02,2.02,2.19,8.56,48.65,85,6.76
2022-05-24 12:40:00,0.53,0.31,0.2,0.41,0.21,22.41,0.003,2.02,2.02,2.2,9.83,50.26,85,6.7
2022-05-24 12:45:00,0.53,0.27,0.22,0.4,0.18,22.36,0.005,2.02,2.02,2.16,8,63.15,85,6.75
2022-05-24 12:50:00,0.6,0.26,0.26,0.44,0.18,21.94,0.004,2.02,2.03,2.18,7.01,52.34,85,7.04
2022-05-24 12:55:00,0.5,0.24,0.15,0.4,0.25,21.74,0.007,2.02,2.03,2.23,8.1,49.06,84,7.46
2022-05-24 13:00:00,0.76,0.28,0.22,0.44,0.22,21.62,0.001,2.02,2.02,2.22,8.22,54.07,84,7.43
2022-05-24 13:05:00,0.64,0.29,0.25,0.48,0.23,21.73,0.004,2.02,2.03,2.17,9.37,58.88,84,7.51
2022-05-24 13:10:00,0.33,0.26,0.3,0.55,0.25,21.53,0.007,2.02,2.03,2.21,7.06,50.21,84,7.82
2022-05-24 13:15:00,0.63,0.25,0.28,0.51,0.23,21.63,0.008,2.02,2.03,2.28,8.64,44.18,82,8.33
2022-05-24 13:20:00,0.59,0.28,0.31,0.64,0.33,21.64,0.003,2.02,2.02,2.32,7.62,38.12,80,8.66
2022-05-24 13:25:00,0.56,0.27,0.39,0.69,0.3,21.54,0.005,2.02,2.03,2.32,5.74,107.7,79,9.02
2022-05-24 13:30:00,0.59,0.28,0.34,0.61,0.28,21.84,0.008,2.02,2.03,2.41,7.03,108.2,75,9.42
2022-05-24 13:35:00,0.63,0.26,0.4,0.61,0.21,21.26,0.004,2.02,2.03,2.46,6.77,119.2,75,9.54
2022-05-24 13:40:00,0.77,0.25,0.26,0.48,0.22,21.78,0.003,2.03,2.03,2.39,7.58,114.5,71,9.41
2022-05-24 13:45:00,1.01,0.27,0.38,0.67,0.28,22.08,0.002,2.03,2.03,2.26,9.83,110.9,69,9.53
2022-05-24 13:50:00,0.74,0.28,0.39,0.62,0.23,21.87,0.006,2.03,2.03,2.31,7.19,91.5,69,9.9
2022-05-24 13:55:00,0.35,0.26,0.14,0.37,0.23,21.84,0.003,2.03,2.03,2.51,9.9,99.2,66,10.26
2022-05-24 14:00:00,0.83,0.22,0.17,0.56,0.39,21.62,0.005,2.03,2.03,2.56,10.79,113.4,66,10.37
2022-05-24 14:05:00,1.32,0.28,0.56,1.06,0.5,21.62,0.004,2.03,2.03,2.37,13.35,116.6,63,10.96
2022-05-24 14:10:00,1.34,0.26,0.49,1,0.51,21.49,0.006,2.03,2.04,2.26,12.02,111.5,62,11.06
2022-05-24 14:15:00,2.03,0.3,0.83,1.63,0.8,21.33,0.006,2.03,2.04,2.27,13.12,128.8,62,10.94
2022-05-24 14:20:00,2.03,0.3,1.16,2.23,1.07,22.12,0.008,2.03,2.04,2.24,13.32,137.4,61,10.83
2022-05-24 14:25:00,2.42,0.28,1.03,2.08,1.05,22.82,0.008,2.03,2.04,2.18,10.72,130.5,59,11.47
2022-05-24 14:30:00,2.55,0.28,1.22,2.2,0.99,22.2,0.005,2.03,2.03,2.16,9.65,131.7,59,11.48
2022-05-24 14:35:00,2.52,0.23,1.2,2.09,0.89,22.05,0.003,2.03,2.03,2.21,11.54,114.7,60,11.32
2022-05-24 14:40:00,2.16,0.27,1.17,1.83,0.66,21.82,0.005,2.03,2.03,2.28,11.03,110.1,61,10.97
2022-05-24 14:45:00,2.9,0.29,1.45,2.25,0.8,21.6,0.007,2.03,2.03,2.3,13.73,122.4,62,10.68
2022-05-24 14:50:00,1.86,0.26,0.94,1.58,0.64,21.64,0.008,2.03,2.03,2.31,12.14,121.7,63,10.46
2022-05-24 14:55:00,1.11,0.28,0.48,0.88,0.4,22.49,0.004,2.03,2.03,2.31,11.34,127.6,63,10.51
2022-05-24 15:00:00,1.16,0.27,0.4,0.68,0.29,22.23,0.006,2.03,2.03,2.25,10.95,127.6,63,10.56
2022-05-24 15:05:00,0.9,0.21,0.43,0.67,0.24,22.07,0.002,2.02,2.02,2.31,9.83,116.4,64,10.52
2022-05-24 15:10:00,1.06,0.27,0.49,0.83,0.34,22.38,0.006,2.02,2.03,2.33,14.45,130.6,64,10.37
2022-05-24 15:15:00,1.52,0.27,0.59,0.96,0.38,23.02,0.003,2.02,2.02,2.24,12.89,124.4,65,10.1
2022-05-24 15:20:00,1.19,0.25,0.59,0.89,0.3,22.9,0.004,2.02,2.03,2.21,10.37,115.9,64,10.17
2022-05-24 15:25:00,1.51,0.24,0.67,1.04,0.37,22.98,0.004,2.02,2.02,2.34,13.14,113.4,65,9.96
2022-05-24 15:30:00,0.99,0.23,0.42,0.71,0.29,23.37,0.007,2.01,2.02,2.37,11.14,112.3,65,9.74
2022-05-24 15:35:00,0.59,0.28,0.18,0.36,0.17,22.62,0.002,2.02,2.02,2.44,8.09,119.3,66,9.95
2022-05-24 15:40:00,0.67,0.25,0.17,0.29,0.13,22.62,0.004,2.02,2.02,2.44,8.81,115,66,9.93
2022-05-24 15:45:00,0.65,0.26,0.11,0.3,0.19,22.81,0.005,2.02,2.02,2.37,9.77,120.1,67,9.68
2022-05-24 15:50:00,0.68,0.24,0.18,0.4,0.22,22.61,0.004,2.02,2.02,2.39,9.57,120.3,67,9.59
2022-05-24 15:55:00,0.55,0.19,0.17,0.36,0.19,22.46,0.006,2.02,2.03,2.41,8.84,111.8,67,9.74
2022-05-24 16:00:00,0.64,0.24,0.17,0.31,0.15,22.53,0.003,2.02,2.02,2.38,9.99,102.2,67,9.81
2022-05-24 16:05:00,0.69,0.3,0.13,0.29,0.16,22.84,0.009,2.02,2.02,2.32,10.22,121.9,66,9.96
2022-05-24 16:10:00,0.72,0.27,0.19,0.32,0.13,22.9,0.002,2.02,2.02,2.35,11.61,128.6,64,10.42
2022-05-24 16:15:00,0.45,0.23,0.12,0.26,0.13,22.91,0.001,2.01,2.01,2.34,14.07,113.1,64,10.48
2022-05-24 16:20:00,0.62,0.24,0.14,0.31,0.17,22.49,0.003,2.02,2.02,2.42,11.63,123.6,64,10.92
2022-05-24 16:25:00,0.62,0.21,0.18,0.42,0.24,22.1,0.004,2.01,2.02,2.52,9.16,120.2,64,10.8
2022-05-24 16:30:00,0.71,0.28,0.25,0.47,0.23,22.56,0.007,2.01,2.02,2.64,9.42,100.8,63,11.06
2022-05-24 16:35:00,0.53,0.23,0.11,0.28,0.17,22.75,0.004,2.02,2.02,2.59,11.82,121.4,63,10.92
2022-05-24 16:40:00,0.76,0.23,0.13,0.29,0.16,22.37,0.002,2.02,2.02,2.48,9.78,112,61,11.4
2022-05-24 16:45:00,0.46,0.24,0.15,0.3,0.15,21.82,0.004,2.02,2.02,2.47,6.93,99.4,62,11.35
2022-05-24 16:50:00,0.54,0.28,0.14,0.27,0.13,21.7,0.002,2.02,2.02,2.5,11.69,137.2,65,10.71
2022-05-24 16:55:00,0.18,0.21,0.1,0.27,0.18,21.46,0.003,2.02,2.02,2.51,10.09,139.1,67,10.39
2022-05-24 17:00:00,0.45,0.22,0.32,0.51,0.19,21.09,0.006,2.02,2.02,2.48,8.46,139.5,67,10.44
2022-05-24 17:05:00,0.63,0.22,0.14,0.25,0.11,21.37,0.004,2.02,2.02,2.51,7.02,129.6,66,10.5
2022-05-24 17:10:00,0.5,0.31,0.18,0.3,0.12,21.58,0.005,2.02,2.02,2.68,7.01,103,66,10.6
2022-05-24 17:15:00,0.52,0.28,0.29,0.45,0.17,21.86,0.001,2.02,2.02,2.73,6.84,100.6,65,10.74
2022-05-24 17:20:00,0.5,0.34,0.29,0.47,0.18,22.02,0.007,2.02,2.02,2.79,6.76,122.1,65,10.79
2022-05-24 17:25:00,0.58,0.23,0.26,0.43,0.17,21.71,0.005,2.02,2.02,2.88,7.05,117.1,65,10.84
2022-05-24 17:30:00,0.52,0.24,0.28,0.5,0.22,21.6,0.002,2.02,2.02,2.86,5.73,99.7,66,10.77
2022-05-24 17:35:00,0.74,0.25,0.78,1.1,0.32,21.37,0.007,2.02,2.03,2.82,7.43,64.94,65,10.71
2022-05-24 17:40:00,0.87,0.26,0.95,1.27,0.32,21.79,0.002,2.02,2.02,2.72,7.89,72.61,65,10.6
2022-05-24 17:45:00,0.76,0.26,0.88,1.18,0.31,21.93,0.003,2.02,2.02,2.59,5.19,91.1,65,10.69
2022-05-24 17:50:00,0.65,0.31,0.94,1.26,0.32,21.56,0.003,2.02,2.02,2.65,6.26,93.2,64,10.88
2022-05-24 17:55:00,0.87,0.26,1.08,1.42,0.35,22.11,0.004,2.02,2.03,2.79,6.95,96.5,63,10.9
2022-05-24 18:00:00,0.91,0.21,1.15,1.52,0.37,22.26,0.007,2.02,2.03,2.83,7.29,92.5,63,10.8
2022-05-24 18:05:00,0.94,0.31,1.07,1.43,0.35,22.02,0.004,2.02,2.03,2.84,5.16,93.7,63,10.69
2022-05-24 18:10:00,0.72,0.26,0.98,1.24,0.25,21.95,0.001,2.02,2.02,2.86,5.52,120.7,64,10.62
2022-05-24 18:15:00,0.51,0.27,0.8,1.03,0.23,21.85,0.004,2.02,2.03,2.76,5.31,109.4,65,10.42
2022-05-24 18:20:00,0.67,0.26,1.01,1.3,0.29,21.74,0.002,2.02,2.02,2.71,5.8,96.5,64,10.44
2022-05-24 18:25:00,0.99,0.26,1.06,1.34,0.28,21.83,0.002,2.03,2.03,2.79,6.88,104.2,65,10.33
2022-05-24 18:30:00,0.81,0.2,1.16,1.34,0.18,22.04,0.001,2.02,2.02,2.71,6.83,88.8,65,10.11
2022-05-24 18:35:00,0.9,0.24,1.18,1.42,0.24,22.16,0.008,2.02,2.03,2.48,5.76,88.6,65,9.93
2022-05-24 18:40:00,1.02,0.29,1.22,1.42,0.2,21.82,0.002,2.03,2.03,2.56,5.41,71.88,65,9.96
2022-05-24 18:45:00,0.87,0.26,1.22,1.5,0.28,22.23,0.005,2.02,2.03,3.03,5.24,68.13,65,9.78
2022-05-24 18:50:00,0.92,0.23,1.2,1.4,0.21,22.12,0.003,2.02,2.03,3.13,7.53,60.61,66,9.63
2022-05-24 18:55:00,0.89,0.27,1.12,1.32,0.21,22.15,0.009,2.02,2.03,2.94,6.37,51.65,66,9.5
2022-05-24 19:00:00,0.55,0.3,0.96,1.14,0.18,22.19,0.004,2.02,2.02,2.79,4.1,57.4,66,9.46
2022-05-24 19:05:00,0.76,0.25,0.77,0.96,0.19,22.37,0.004,2.02,2.02,2.71,4.28,88.7,66,9.45
2022-05-24 19:10:00,0.73,0.26,0.72,0.89,0.17,22.3,0.008,2.02,2.03,2.7,5.61,48.98,68,9.26
2022-05-24 19:15:00,0.71,0.28,0.65,0.8,0.15,22.37,0.006,2.02,2.03,3.03,6.27,62.64,74,8.73
2022-05-24 19:20:00,0.65,0.28,0.6,0.77,0.17,21.73,0.003,2.02,2.03,3.28,4.22,51.65,78,8.33
2022-05-24 19:25:00,0.34,0.27,0.6,0.77,0.17,21.52,0.007,2.02,2.03,3.37,4.25,48.15,79,8.28
2022-05-24 19:30:00,0.7,0.26,0.63,0.76,0.13,21.69,0.003,2.02,2.02,3.25,3.94,59.35,78,8
2022-05-24 19:35:00,0.7,0.29,0.47,0.62,0.15,21.87,0.005,2.02,2.03,3.03,3.65,86.8,77,7.94
2022-05-24 19:40:00,0.69,0.26,0.5,0.68,0.18,21.49,0.007,2.02,2.03,2.83,3.57,57.95,78,7.87
2022-05-24 19:45:00,0.58,0.29,0.58,0.73,0.15,21.56,0.003,2.03,2.03,2.72,4.69,36.59,77,7.86
2022-05-24 19:50:00,0.84,0.24,0.49,0.65,0.16,20.2,0.002,2.03,2.03,2.67,4.49,9.85,80,7.72
2022-05-24 19:55:00,0.82,0.33,0.45,0.62,0.17,18.63,0.003,2.04,2.04,2.64,3.55,357.8,84,7.48
2022-05-24 20:00:00,0.57,0.32,0.41,0.6,0.2,17.51,0.005,2.04,2.04,2.62,3.68,9.12,85,7.3
2022-05-24 20:05:00,0.56,0.31,0.36,0.53,0.17,17.34,0.005,2.02,2.03,2.65,5.13,322.9,86,7.23
2022-05-24 20:10:00,0.55,0.31,0.45,0.64,0.19,16.13,0.008,2.02,2.03,2.7,4.31,315.3,87,7.22
2022-05-24 20:15:00,0.64,0.25,0.91,1.11,0.2,17.28,0.006,2.03,2.03,2.63,3.99,313.6,85,7.22
2022-05-24 20:20:00,0.54,0.27,1.26,1.47,0.21,17.55,0.008,2.04,2.05,2.59,3.99,330.5,84,7.14
2022-05-24 20:25:00,0.37,0.27,0.96,1.16,0.2,18.68,0.006,2.05,2.05,2.6,4.73,9.31,84,7.18
2022-05-24 20:30:00,0.79,0.29,0.81,0.96,0.15,16.96,0.007,2.04,2.05,2.75,6.29,356.1,85,7.07
2022-05-24 20:35:00,0.53,0.33,0.74,0.9,0.16,15.82,0.002,2.05,2.05,2.8,7.14,353.7,86,6.96
2022-05-24 20:40:00,0.64,0.27,0.56,0.78,0.22,18.18,0.003,2.05,2.05,2.7,8.47,331.5,81,7
2022-05-24 20:45:00,0.62,0.33,0.52,0.71,0.19,18.71,0.001,2.03,2.04,2.61,4.89,350.7,81,7.13
2022-05-24 20:50:00,0.44,0.3,0.7,0.91,0.21,18.89,0.003,2.05,2.05,2.61,4.77,11.53,81,7
2022-05-24 20:55:00,0.7,0.33,0.76,0.9,0.14,18.54,0.006,2.05,2.05,2.67,4.56,32.64,81,6.99
2022-05-24 21:00:00,0.55,0.31,0.66,0.79,0.13,17.83,0.005,2.05,2.05,2.89,4.73,5.91,82,6.83
2022-05-24 21:05:00,0.46,0.31,0.82,0.99,0.17,15.55,0.004,2.06,2.07,2.95,4.04,31.68,85,6.71
2022-05-24 21:10:00,0.53,0.31,1.06,1.19,0.13,15.66,0.006,2.08,2.08,2.78,4.08,32.93,84,6.84
2022-05-24 21:15:00,0.28,0.29,0.82,0.96,0.14,18.69,0.003,2.06,2.06,2.71,6,11.38,80,6.98
2022-05-24 21:20:00,0.44,0.28,0.55,0.69,0.13,20.14,0.005,2.04,2.05,2.55,3.39,63.96,77,7.34
2022-05-24 21:25:00,0.39,0.26,0.38,0.58,0.2,21.03,0.004,2.03,2.04,2.46,3.65,21.01,76,7.35
2022-05-24 21:30:00,0.61,0.29,0.37,0.54,0.17,18.15,0.003,2.04,2.04,2.45,3.18,0.24,80,7.2
2022-05-24 21:35:00,0.61,0.22,0.53,0.66,0.13,16.27,0.009,2.06,2.06,2.51,2.7,41.81,84,6.85
2022-05-24 21:40:00,0.7,0.25,0.48,0.66,0.18,16.28,0.008,2.04,2.05,2.57,3.6,42.56,85,6.65
2022-05-24 21:45:00,0.48,0.3,0.22,0.33,0.1,20.19,0.003,2.03,2.04,2.78,4.23,17.34,80,6.69
2022-05-24 21:50:00,0.48,0.27,0.27,0.37,0.11,17.03,0.002,2.05,2.05,2.88,3.66,341.7,83,6.63
2022-05-24 21:55:00,0.67,0.28,0.3,0.43,0.13,17.75,0.01,2.04,2.05,2.81,2.29,339.5,83,6.5
2022-05-24 22:00:00,0.55,0.27,0.33,0.47,0.14,14.35,0.006,2.05,2.06,2.67,1.62,339.3,86,6.35
2022-05-24 22:05:00,0.48,0.24,0.32,0.44,0.12,14.17,0.004,2.07,2.07,2.76,0.48,354.2,88,6.17
2022-05-24 22:10:00,0.58,0.28,0.4,0.53,0.12,13.76,0.004,2.05,2.06,2.79,2.27,10.72,88,6.1
2022-05-24 22:15:00,0.38,0.29,0.37,0.49,0.12,11.37,0.003,2.08,2.08,2.88,1.99,27.72,90,5.8
2022-05-24 22:20:00,0.51,0.33,0.32,0.45,0.13,10.55,0.005,2.11,2.11,3.02,1.69,24.79,92,5.53
2022-05-24 22:25:00,0.52,0.26,0.19,0.4,0.2,11.72,0.007,2.06,2.07,3.26,2.62,106.1,92,5.25
2022-05-24 22:30:00,0.52,0.26,0.33,0.52,0.2,11.64,0.009,2.08,2.08,3.34,2.56,196.4,93,5.04
2022-05-24 22:35:00,0.55,0.17,0.55,0.77,0.22,11.26,0.007,2.06,2.06,3.43,2.58,160.3,92,4.93
2022-05-24 22:40:00,0.63,0.23,0.52,0.66,0.15,10.28,0.013,2.1,2.11,4.44,3.34,274.1,93,4.74
2022-05-24 22:45:00,0.52,0.31,0.29,0.45,0.16,10.89,0.009,2.08,2.08,9.17,2.44,18.94,93,4.39
2022-05-24 22:50:00,0.53,0.27,0.29,0.46,0.17,8.76,0.008,2.09,2.1,11.94,3.9,348.8,93,4.12
2022-05-24 22:55:00,0.32,0.22,0.33,0.49,0.17,7.16,0.003,2.09,2.09,8.6,5.24,337.4,94,3.91
2022-05-24 23:00:00,0.5,0.21,0.22,0.38,0.16,6.65,0.004,2.07,2.08,3.8,5.23,344.5,94,3.82
2022-05-24 23:05:00,0.48,0.25,0.32,0.7,0.38,6.06,0.008,2.08,2.09,3.67,3.76,5.69,94,4
2022-05-24 23:10:00,0.61,0.24,0.14,0.31,0.16,5.28,0.004,2.1,2.1,3.5,2.35,7.35,93,4.02
2022-05-24 23:15:00,0.62,0.25,0.37,0.55,0.18,8.15,0.004,2.06,2.06,3.25,1.43,54.39,93,3.89
2022-05-24 23:20:00,0.43,0.22,0.55,0.74,0.2,6.57,0.008,2.06,2.07,3.26,2.04,16.33,93,3.83
2022-05-24 23:25:00,0.74,0.22,0.25,0.4,0.15,4.2,0.004,2.1,2.1,3.27,1.37,48.28,94,3.8
2022-05-24 23:30:00,0.54,0.21,0.14,0.32,0.18,4.55,0.003,2.1,2.11,3.31,1.64,28.42,95,3.73
2022-05-24 23:35:00,0.44,0.24,0.2,0.38,0.18,4.32,0.002,2.09,2.09,3.36,2.78,316.7,95,3.51
2022-05-24 23:40:00,0.66,0.22,0.17,0.36,0.19,4.9,0.004,2.08,2.09,3.15,3.31,358,95,3.4
2022-05-24 23:45:00,0.26,0.19,0.17,0.29,0.12,5.06,0.004,2.07,2.08,2.79,3.58,336.1,95,3.34
2022-05-24 23:50:00,0.5,0.18,0.15,0.36,0.21,3.94,0.002,2.07,2.07,2.69,2.63,343.8,96,3.3
2022-05-24 23:55:00,0.51,0.14,0.14,0.29,0.15,2.99,0.001,2.1,2.1,2.57,3.44,344.6,96,3.38
2022-05-25 00:00:00,0.65,0.16,0.17,0.37,0.2,3.05,0.005,2.1,2.11,2.5,3.34,341.1,96,3.4
2022-05-25 00:05:00,0.43,0.17,0.17,0.3,0.13,Z/S,0.01,2.09,2.1,2.64,3.5,359.8,96,3.46
2022-05-25 00:10:00,0.34,0.15,0.23,0.44,0.21,Z/S,0.008,2.09,2.1,3.68,3.57,331.5,95,3.4
2022-05-25 00:15:00,0.45,0.2,0.25,0.44,0.19,Z/S,0.004,2.08,2.08,4.23,1.9,4.21,95,3.41
2022-05-25 00:20:00,0.52,0.22,0.41,0.6,0.19,Z/S,0.006,2.09,2.09,3.98,3.84,323.7,95,3.5
2022-05-25 00:25:00,0.52,0.14,0.31,0.56,0.24,Z/S,0.007,2.05,2.05,3.59,2.3,324.6,95,3.6
2022-05-25 00:30:00,0.71,0.16,0.21,0.38,0.17,Z/S,0.008,2.08,2.08,3.41,0.45,354.5,95,3.68
2022-05-25 00:35:00,0.44,0.22,0.23,0.45,0.22,Z/S,0.005,2.07,2.08,3.09,2.66,338.4,95,3.64
2022-05-25 00:40:00,0.65,0.2,0.18,0.37,0.19,Z/S,0.008,2.09,2.1,3.07,2.84,6.43,95,3.6
2022-05-25 00:45:00,0.49,0.17,0.28,0.38,0.1,Z/S,0.01,2.1,2.11,2.84,2.73,339.7,95,3.55
2022-05-25 00:50:00,0.51,0.17,0.38,0.61,0.23,Z/S,0.014,2.09,2.1,2.86,3.37,349.7,95,3.35
2022-05-25 00:55:00,0.48,0.2,0.24,0.46,0.21,Z/S,0.005,2.09,2.09,2.9,2.34,18.82,95,3.27
2022-05-25 01:00:00,0.54,0.14,0.33,0.48,0.15,Z/S,0.007,2.08,2.08,4.66,1.91,23.4,94,3.11
2022-05-25 01:05:00,0.52,0.16,0.25,0.43,0.19,2.86,0.003,2.1,2.11,5.25,1.98,22.32,95,2.92
2022-05-25 01:10:00,0.78,0.25,0.5,15.46,14.96,2.95,0.004,2.09,2.09,4.38,2.42,5.8,96,2.71
2022-05-25 01:15:00,0.54,0.17,0.44,1.75,1.3,3.68,0.003,2.11,2.11,3.53,1.75,336.3,96,2.54
2022-05-25 01:20:00,0.58,0.19,0.38,0.57,0.2,3.55,0.007,2.09,2.1,3.28,2.84,2.53,96,2.3
2022-05-25 01:25:00,0.35,0.16,1.3,7.76,6.46,2.15,0.004,2.12,2.12,3.08,4.33,335.8,96,2.01
2022-05-25 01:30:00,0.56,0.14,0.7,4.14,3.45,1.67,0.003,2.13,2.13,3.09,3.91,337.1,97,1.8
2022-05-25 01:35:00,0.52,0.16,3,23.33,20.33,0.62,0.009,2.08,2.09,3.21,4.39,344.7,97,1.45
2022-05-25 01:40:00,0.41,0.14,1.08,4.14,3.06,1.35,0.003,2.12,2.12,3.17,4.27,353.1,97,1.28
2022-05-25 01:45:00,0.49,0.15,1.19,5.1,3.91,1.04,0.004,2.12,2.13,2.98,3.4,354.4,97,1.09
2022-05-25 01:50:00,0.61,0.17,1.25,4.74,3.48,1.1,0.003,2.09,2.09,3.05,4.08,341.8,97,0.86
2022-05-25 01:55:00,0.66,0.17,1.65,4.95,3.3,0.8,0.003,2.1,2.1,3.86,3.49,4.44,97,0.8
2022-05-25 02:00:00,0.42,0.17,1.79,5.72,3.93,0.8,0.004,2.1,2.1,3.85,3.21,349.4,97,0.68
2022-05-25 02:05:00,0.38,0.19,Z/S,Z/S,Z/S,0.94,0.004,2.08,2.09,3.27,4.17,350.9,97,0.49
2022-05-25 02:10:00,0.65,0.13,Z/S,Z/S,Z/S,1.05,0.005,2.09,2.09,3.39,4.24,347.1,97,0.33
2022-05-25 02:15:00,0.39,0.09,Z/S,Z/S,Z/S,1.05,0.004,2.09,2.09,3.61,5,348.5,97,0.2
2022-05-25 02:20:00,0.45,0.11,Z/S,Z/S,Z/S,0.95,0.01,2.09,2.1,3.5,3.22,350.9,97,0.01
2022-05-25 02:25:00,0.25,0.08,Z/S,Z/S,Z/S,0.85,0.008,2.1,2.1,3.1,2.73,5.09,98,-0.08
2022-05-25 02:30:00,0.65,0.08,Z/S,Z/S,Z/S,0.77,0.006,2.1,2.1,2.9,2.52,352.3,98,-0.19
2022-05-25 02:35:00,0.53,0.12,Z/S,Z/S,Z/S,1.36,0.006,2.1,2.11,3.27,0.5,316.5,98,-0.3
2022-05-25 02:40:00,0.52,0.1,Z/S,Z/S,Z/S,1.14,0.006,2.09,2.1,3.5,2.75,359.5,98,-0.24
2022-05-25 02:45:00,0.58,0.12,Z/S,Z/S,Z/S,0.92,0.004,2.12,2.12,3.26,3.16,353.1,98,-0.24
2022-05-25 02:50:00,0.43,0.1,Z/S,Z/S,Z/S,0.83,0.008,2.12,2.12,2.92,3.4,352.3,98,-0.44
2022-05-25 02:55:00,0.72,0.16,Z/S,Z/S,Z/S,0.98,0.005,2.11,2.11,2.76,2.92,359.7,98,-0.59
2022-05-25 03:00:00,0.63,0.06,Z/S,Z/S,Z/S,0.93,0.005,2.11,2.11,2.63,1.35,279.5,98,-0.69
2022-05-25 03:05:00,0.39,0.15,0.89,1.72,0.83,1.15,0.003,2.1,2.1,2.55,1.65,222.6,98,-0.7
2022-05-25 03:10:00,0.36,0.12,0.8,1.52,0.72,0.82,0.005,2.11,2.11,2.66,0.89,128.5,98,-0.64
2022-05-25 03:15:00,0.54,0.08,0.99,1.55,0.57,1.01,0.005,2.11,2.11,2.84,1.88,138.9,98,-0.65
2022-05-25 03:20:00,0.57,0.06,0.96,1.56,0.61,0.76,0.007,2.11,2.12,2.89,1.32,120.3,98,-0.7
2022-05-25 03:25:00,0.3,0.14,0.97,1.56,0.59,1.11,0.001,2.11,2.11,3.33,1.81,138.1,98,-0.82
2022-05-25 03:30:00,0.61,0.15,1.76,6.18,4.42,1.67,0.023,2.17,2.19,6.74,2.84,199.4,98,-0.82
