Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS29, L1, 5Mn
Exported On:,2022/08/24,11:07
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), PM2.5 (ug/m3), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 15:15:00,-0.23,0,1.96,-0.05,0,-0.05,2.03,12.88,98.2,51,9.58
2022-05-24 15:20:00,-0.26,-0.21,1.98,-0.04,0.03,-0.01,2.04,15.04,96,50,10.16
2022-05-24 15:25:00,-0.25,-0.27,1.97,-0.02,0.01,-0.01,2.01,12.02,107.3,49,10.68
2022-05-24 15:30:00,-0.12,0.14,2.04,0,-0.01,-0.01,2.04,12.88,113.5,48,10.61
2022-05-24 15:35:00,0.05,-0.02,2.01,-0.02,0.02,0,2.08,11.56,118.5,50,10.33
2022-05-24 15:40:00,0.05,0.06,1.97,-0.04,0.02,-0.02,2.13,10.33,90.5,48,11.24
2022-05-24 15:45:00,0.19,-0.03,1.97,-0.04,0.02,-0.02,2.14,9.19,95.9,49,10.74
2022-05-24 15:50:00,0.02,-0.24,2.02,-0.03,-0.02,-0.05,2.14,9.93,95.5,50,10.55
2022-05-24 15:55:00,0.04,-0.19,2.04,-0.04,0.01,-0.03,2.2,10.99,103.9,50,10.79
2022-05-24 16:00:00,0.29,-0.25,1.99,-0.03,0.01,-0.02,2.25,10.25,100.1,49,10.84
2022-05-24 16:05:00,0.11,-0.17,2,-0.01,-0.02,-0.04,2.23,13.97,102.1,49,10.97
2022-05-24 16:10:00,0.06,-0.11,2,-0.03,-0.02,-0.05,2.24,11.16,103.8,49,10.89
2022-05-24 16:15:00,0.14,-0.22,1.97,-0.03,0.01,-0.02,2.34,10.72,111.9,49,11.32
2022-05-24 16:20:00,0.18,-0.33,1.98,-0.02,0.01,-0.01,2.38,11.3,92.4,47,11.97
2022-05-24 16:25:00,0.08,-0.38,1.99,-0.01,0,-0.01,2.37,9.08,88.2,47,12.23
2022-05-24 16:30:00,0.21,-0.12,1.99,-0.04,0.03,-0.01,2.41,9.73,75.52,46,12.71
2022-05-24 16:35:00,0.04,-0.23,1.97,-0.01,0.02,0.01,2.58,12.16,102.1,47,12.2
2022-05-24 16:40:00,0.24,-0.11,1.98,-0.02,-0.01,-0.03,2.66,11.2,111.7,47,12.17
2022-05-24 16:45:00,0.02,-0.21,1.99,-0.01,0.02,0.01,2.61,14.47,92.5,48,12.25
2022-05-24 16:50:00,0.12,-0.11,2,-0.03,0.03,0,2.65,11.9,99.6,48,12.31
2022-05-24 16:55:00,0.16,-0.02,1.99,-0.03,0.05,0.02,2.66,11.36,106.4,47,12.55
2022-05-24 17:00:00,0.21,-0.15,2.02,-0.06,0.07,0.01,2.55,14.04,97,48,12.38
2022-05-24 17:05:00,0.28,-0.12,1.99,-0.05,0.06,0.01,2.55,10.93,88.8,48,12.2
2022-05-24 17:10:00,0.28,-0.11,2.02,-0.03,0.06,0.03,2.7,11.51,107.8,47,12.43
2022-05-24 17:15:00,0.21,-0.07,2.01,-0.03,0.05,0.02,2.86,9.26,112.1,47,12.56
2022-05-24 17:20:00,0.21,-0.08,1.99,-0.02,0.06,0.04,3,9.32,92.4,48,12.32
2022-05-24 17:25:00,0.17,0.14,2.03,-0.03,0.06,0.03,3.03,12.11,93.9,48,12.41
